ID,TITLE,TYPE,RELEASE_YEAR,AGE_CERTIFICATION,RUNTIME,GENRE,PRODUCTION_COUNTRIES,SEASONS,IMDB_SCORE,IMDB_VOTES
tm721687,Vaashi,MOVIE,1983,-,123,"[drama, thriller]",[IN],-,6.7,388
tm40103,Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,-,119,"[scifi, animation, action, drama, war]",[JP],-,7.3,1693
tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,-,133,"[animation, scifi, action, drama, war]",[JP],-,7.2,1274
ts2760,Fireman Sam,SHOW,1987,TV-Y,10,"[animation, comedy, family, crime, european]",[GB],13,6.1,1785
tm21953,Sam Kinison: Breaking the Rules,MOVIE,1987,R,50,"[comedy, documentation]",[US],-,7.2,660
tm126769,Waiting for the Hearse,MOVIE,1985,-,87,[comedy],[AR],-,8,6399
tm152839,Tim Allen: Men Are Pigs,MOVIE,1990,-,30,"[comedy, documentation]",[US],-,6.1,360
tm49037,Mobile Suit Gundam III: Encounters in Space,MOVIE,1982,-,144,"[action, drama, war, animation, scifi]",[JP],-,7.6,1236
tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,1982,R,81,"[comedy, documentation]",[GB],-,7.9,15230
tm52815,Disco Dancer,MOVIE,1982,-,106,"[drama, romance]",[IN],-,6.4,1476
tm159912,Agneepath,MOVIE,1990,-,174,"[drama, action, crime]",[IN],-,7.6,8947
tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,-,72,[comedy],[GB],-,8.1,1522
tm38736,Too Young The Hero,MOVIE,1988,-,100,"[drama, war]",[US],-,6.7,502
tm51083,A Stoning in Fulham County,MOVIE,1988,-,120,"[thriller, crime, drama]",[US],-,5.9,387
tm137013,The Ryan White Story,MOVIE,1989,-,102,[drama],[US],-,7.2,863
tm157603,Dil,MOVIE,1990,-,172,"[drama, comedy, romance]",[IN],-,6.6,5316
tm258072,Adam: His Song Continues,MOVIE,1986,-,100,"[crime, drama]",[US],-,7,212
tm114356,The George McKenna Story,MOVIE,1988,-,100,[drama],[US],-,6,921
tm157853,In Defense of a Married Man,MOVIE,1990,-,94,"[drama, crime]",[US],-,5.6,207
tm132164,Bill Hicks: Sane Man,MOVIE,1989,R,80,[comedy],[US],-,-,-
tm446654,Mujrim,MOVIE,1989,-,162,"[drama, action, crime]",[IN],-,5.4,197
tm348735,Aakhri Adaalat,MOVIE,1988,-,148,"[action, crime, thriller]",[IN],-,5.1,92
tm151332,"Alexandria, Again and Forever",MOVIE,1989,-,105,[drama],"[FR, EG]",-,6.5,658
tm342996,Duniya,MOVIE,1984,-,170,"[action, drama]",[IN],-,6.3,245
tm24110,Strange Voices,MOVIE,1987,-,100,[drama],[US],-,6.3,360
tm371359,Jaal,MOVIE,1986,-,159,"[action, drama, thriller]",[IN],-,5.2,125
tm55091,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,-,100,[drama],[US],-,7.2,144
ts63001,High Risk,SHOW,1988,TV-PG,50,[comedy],[US],1,3.8,6
tm311264,Muqaddar Ka Faisla,MOVIE,1987,-,172,"[action, comedy, drama, family]",[IN],-,4.8,69
tm411457,Pyar Ke Do Pal,MOVIE,1986,-,125,"[drama, action]",[IN],-,6.1,66
tm172482,Sohni Mahiwal,MOVIE,1984,-,160,"[romance, drama, action]",[IN],-,6.1,297
tm419052,Ek Jaan Hain Hum,MOVIE,1983,-,151,"[family, romance]",[IN],-,6.3,70
tm47673,An Egyptian Story,MOVIE,1982,-,129,"[drama, fantasy]",[EG],-,7.3,1126
tm52274,The Little Wars,MOVIE,1982,-,108,"[war, drama, european]","[FR, LB]",-,6.3,152
tm147829,Unspeakable Acts,MOVIE,1990,-,100,[drama],[US],-,6.1,464
ts20981,Survivor,SHOW,2000,TV-PG,48,[reality],[US],42,7.4,24687
tm107744,Mission: Impossible,MOVIE,1996,PG-13,110,"[thriller, action]",[US],-,7.1,420673
ts22176,Stargate SG-1,SHOW,1997,TV-PG,44,"[scifi, drama, action]","[CA, US]",10,8.4,90196
tm15897,Se7en,MOVIE,1995,R,127,"[crime, thriller, drama]",[US],-,8.6,1606270
ts21223,Pok̩mon,SHOW,1997,TV-Y7,22,"[action, scifi, animation, comedy, fantasy, family]",[JP],25,7.4,198
tm191013,Boogie Nights,MOVIE,1997,R,156,[drama],[US],-,7.9,261563
tm122434,Forrest Gump,MOVIE,1994,PG-13,142,"[drama, romance]",[US],-,8.8,2021343
tm25947,Snatch,MOVIE,2000,R,103,"[crime, comedy]","[US, GB]",-,8.3,841435
tm43808,The Talented Mr. Ripley,MOVIE,1999,R,139,"[thriller, drama, crime]",[US],-,7.4,207524
ts20339,One Piece,SHOW,1999,TV-14,23,"[animation, action, comedy, drama, fantasy]",[JP],21,8.8,117129
ts5145,The Challenge,SHOW,1998,TV-14,40,"[reality, comedy, drama, scifi]",[US],37,7.8,3362
tm191110,Titanic,MOVIE,1997,PG-13,194,"[drama, romance]",[US],-,7.9,1146825
ts34435,Cowboy Bebop,SHOW,1998,TV-14,25,"[animation, action, scifi, western, comedy, drama, thriller]",[JP],1,8.9,115448
tm192037,Starship Troopers,MOVIE,1997,R,129,"[scifi, action, thriller]",[US],-,7.3,291452
tm27395,Mission: Impossible II,MOVIE,2000,PG-13,123,"[thriller, action]",[US],-,6.1,337987
tm113513,Dumb and Dumber,MOVIE,1994,PG-13,107,[comedy],[US],-,7.3,379999
ts20983,Neon Genesis Evangelion,SHOW,1995,TV-14,24,"[drama, scifi, animation, action, fantasy, thriller]",[JP],1,8.5,66629
tm192405,Gattaca,MOVIE,1997,PG-13,106,"[scifi, thriller, romance, drama]",[US],-,7.8,300701
tm116655,L̩on: The Professional,MOVIE,1994,R,111,"[crime, drama, action, thriller, european]","[US, FR]",-,8.5,1137357
ts21567,Gilmore Girls,SHOW,2000,TV-14,46,"[comedy, drama]",[US],8,8.2,121462
tm116488,Natural Born Killers,MOVIE,1994,R,118,"[thriller, drama, crime, action]",[US],-,7.3,11
tm11556,The Quick and the Dead,MOVIE,1995,R,107,"[action, thriller, western, romance]","[JP, US]",-,6.5,93767
tm56574,You've Got Mail,MOVIE,1998,PG,119,"[comedy, romance, drama]",[US],-,6.7,211635
ts20960,Power Rangers,SHOW,1993,TV-Y7,22,"[action, scifi, fantasy, family]",[US],29,6.5,22110
tm53991,Big Daddy,MOVIE,1999,PG-13,93,"[drama, comedy, european]",[US],-,6.4,215053
tm49178,Vampires,MOVIE,1998,R,104,"[fantasy, action, horror, thriller]",[US],-,6.1,58670
ts25252,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,"[scifi, action, family, fantasy, animation, comedy, drama]",[JP],7,7.3,21113
tm191989,Donnie Brasco,MOVIE,1997,R,127,"[drama, thriller, crime]",[US],-,7.7,303868
ts22193,The Magic School Bus,SHOW,1994,TV-Y,26,"[animation, scifi, comedy, family, fantasy]","[CA, US]",4,7.8,9829
ts22489,Goosebumps,SHOW,1995,TV-PG,22,"[scifi, thriller, family, fantasy, horror, music]","[US, CA]",4,7.6,13493
ts21034,InuYasha,SHOW,2000,TV-14,25,"[scifi, action, fantasy, romance, animation, comedy, drama]",[JP],9,7.9,15823
tm121879,A River Runs Through It,MOVIE,1992,PG,123,[drama],[US],-,7.2,59854
tm44402,"Girl, Interrupted",MOVIE,1999,R,127,"[drama, european]","[DE, US]",-,7.3,183154
tm187187,Last Action Hero,MOVIE,1993,PG-13,131,"[action, fantasy, comedy, family]",[US],-,6.4,150498
ts16919,All That,SHOW,1994,TV-G,22,"[comedy, family, music]",[US],11,7.5,7718
tm6859,My Girl,MOVIE,1991,PG,103,"[drama, family, romance, comedy, european]",[US],-,6.9,80590
tm118238,Wyatt Earp,MOVIE,1994,PG-13,191,"[western, crime, action, drama]",[US],-,6.7,50774
tm111163,Eraser,MOVIE,1996,R,115,"[thriller, action, drama, crime]","[US, CA]",-,6.1,110921
tm190835,Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,-,87,"[action, drama, animation, scifi, fantasy]",[JP],-,8,53152
tm192769,Vegas Vacation,MOVIE,1997,PG,94,[comedy],[US],-,5.9,49377
tm187791,In the Line of Fire,MOVIE,1993,R,128,"[drama, thriller, crime, action]",[US],-,7.2,102916
tm113576,Little Women,MOVIE,1994,PG,115,"[drama, romance, family]",[US],-,7.3,58178
tm65686,U.S. Marshals,MOVIE,1998,PG-13,131,"[thriller, crime, action]",[US],-,6.5,105286
ts8570,Barney & Friends,SHOW,1992,TV-G,28,"[comedy, family]",[US],14,3.8,9624
tm191387,Anaconda,MOVIE,1997,PG-13,89,"[horror, thriller, action]","[PE, US, BR]",-,4.8,104213
ts27693,Kenan & Kel,SHOW,1996,TV-Y7,25,"[family, comedy]",[US],4,7.8,15620
tm19494,The Replacements,MOVIE,2000,PG-13,118,"[comedy, sport]",[US],-,6.6,64771
tm191772,Seven Years in Tibet,MOVIE,1997,PG-13,136,"[action, drama, history, war]",[US],-,7.1,142903
tm12499,The Net,MOVIE,1995,PG-13,114,"[thriller, action, crime, drama]",[US],-,5.9,66667
tm186589,Cliffhanger,MOVIE,1993,R,112,"[action, thriller, comedy, animation]","[IT, US, FR]",-,6.5,128972
tm189764,Menace II Society,MOVIE,1993,R,97,"[drama, crime, thriller]",[US],-,7.5,58179
tm10739,Johnny Mnemonic,MOVIE,1995,R,97,"[action, drama, scifi, thriller]","[CA, US]",-,5.6,71563
tm1822,3 Ninjas Kick Back,MOVIE,1994,PG,93,"[comedy, family, action, sport]","[JP, US]",-,4.5,9321
tm55369,Edge of Seventeen,MOVIE,1998,R,104,"[romance, drama, comedy]",[US],-,6.8,6549
ts251477,My First Errand,SHOW,1991,TV-G,18,"[documentation, family, reality]",[JP],12,-,-
tm192431,The Devil's Own,MOVIE,1997,R,107,"[crime, thriller, drama, action, european]",[US],-,6.2,65323
ts22286,Cardcaptor Sakura,SHOW,1998,TV-Y7,25,"[scifi, animation, action, comedy, drama, family, fantasy, romance]",[JP],4,8,5008
tm192199,Spawn,MOVIE,1997,PG-13,96,"[scifi, action, drama, horror]",[US],-,5.2,68184
ts11397,Adventures of Sonic the Hedgehog,SHOW,1993,TV-Y7,22,"[scifi, animation, action, comedy, family, fantasy, western]",[US],4,6.2,3902
tm56033,Croupier,MOVIE,1998,R,94,"[drama, european, crime]","[IE, GB, DE, FR]",-,7,21599
ts21581,Girlfriends,SHOW,2000,TV-PG,21,"[drama, comedy]",[US],8,7.2,4528
tm117488,The Next Karate Kid,MOVIE,1994,PG,107,"[action, drama, family, sport, romance]",[US],-,4.5,30422
tm190811,Geronimo: An American Legend,MOVIE,1993,PG-13,115,"[western, history, drama]",[US],-,6.5,11709
tm191431,Double Team,MOVIE,1997,R,93,"[action, scifi, comedy, thriller]","[HK, US]",-,4.8,34396
tm10811,Heavy,MOVIE,1995,R,105,"[drama, romance]",[US],-,6.8,5047
tm49839,The Players Club,MOVIE,1998,R,104,"[comedy, drama]",[US],-,5.9,6676
ts20918,The Parkers,SHOW,1999,TV-PG,19,[comedy],[US],5,6.8,2377
ts21693,"Sister, Sister",SHOW,1994,TV-PG,22,"[comedy, drama, family]",[US],6,6.2,12657
ts20939,Moesha,SHOW,1996,TV-PG,21,"[drama, comedy, family]",[US],6,5.8,3747
ts21684,Heartbreak High,SHOW,1994,TV-MA,45,"[drama, romance, comedy]",[AU],7,7.8,3139
ts22080,Oggy and the Cockroaches,SHOW,1999,TV-Y7,9,"[animation, comedy, family, action, european]",[FR],7,7.4,4281
tm67635,Kuch Kuch Hota Hai,MOVIE,1998,G,185,"[romance, comedy, drama]",[IN],-,7.6,52036
tm320211,Children of God,MOVIE,1994,-,63,[documentation],[GB],-,6.3,612
tm7073,Knight Rider 2000,MOVIE,1991,G,91,"[action, scifi]",[US],-,4.5,3207
ts28516,Okupas,SHOW,2000,TV-MA,40,"[drama, crime]",[AR],1,9,2399
tm117873,Hum Aapke Hain Koun..!,MOVIE,1994,-,206,"[drama, romance, comedy]",[IN],-,7.5,21123
tm55100,Dil Se..,MOVIE,1998,PG-13,163,"[drama, romance]",[IN],-,7.5,28586
tm64817,Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,G,75,"[comedy, documentation]",[US],-,7.9,5879
ts22039,H,SHOW,1998,TV-MA,25,[comedy],[FR],4,7.4,1727
tm188606,Sankofa,MOVIE,1993,-,124,"[drama, european]","[DE, GH, GB, US, BF]",-,7,692
tm41525,Herod's Law,MOVIE,1999,R,123,"[comedy, crime, thriller]",[MX],-,7.8,6035
tm189171,Wild Tango,MOVIE,1993,R,124,"[drama, music, romance]","[ES, AR]",-,6.7,1584
tm63514,The Last Days,MOVIE,1998,PG-13,87,"[drama, history, war, documentation]",[US],-,7.9,4378
tm21911,Sam Kinison: Live in Vegas,MOVIE,1991,-,72,"[comedy, music, documentation]",[US],-,6.6,276
tm188970,Bill Hicks: Revelations,MOVIE,1993,-,74,"[comedy, documentation]",[GB],-,8.5,3098
tm12876,Bombay,MOVIE,1995,-,141,"[drama, romance]",[IN],-,8.1,12629
ts224786,Escalona,SHOW,1991,TV-MA,44,[drama],[CO],1,-,-
tm62176,Mann,MOVIE,1999,-,174,"[drama, romance]",[IN],-,6.1,5451
tm52871,Soldier,MOVIE,1998,-,156,"[thriller, action, drama, romance]",[IN],-,6.2,3063
tm8687,Sam Kinison: Family Entertainment Hour,MOVIE,1991,-,49,[comedy],[US],-,-,-
tm104933,Sinbad: Son of a Preacher Man,MOVIE,1996,-,56,"[comedy, documentation]",[US],-,6.8,116
tm184326,Damini,MOVIE,1993,-,175,"[drama, crime]",[IN],-,7.8,3523
tm62385,Hum Saath Saath Hain,MOVIE,1999,G,177,"[romance, family, fantasy, drama]",[IN],-,6.2,8552
tm191614,Destiny,MOVIE,1997,-,136,"[drama, history, comedy, romance]","[FR, EG]",-,7.1,2857
tm110766,Chronicle of a Disappearance,MOVIE,1996,-,88,[drama],"[PS, US, FR, DE]",-,6.9,733
tm9898,Muthu,MOVIE,1995,G,165,"[comedy, drama, action, romance]",[IN],-,7.6,3056
tm47530,Jeans,MOVIE,1998,-,175,"[comedy, drama, romance]",[IN],-,6.4,3604
tm57169,Monty Python: Live at Aspen,MOVIE,1998,-,58,"[comedy, documentation]","[GB, US]",-,7.8,1096
tm192301,Minsara Kanavu,MOVIE,1997,G,145,"[comedy, romance, drama]",[IN],-,6.7,1226
tm58893,Duplicate,MOVIE,1998,PG,165,"[comedy, action, crime, thriller]",[IN],-,5.5,7618
tm110160,Avvai Shanmugi,MOVIE,1996,PG-13,160,"[drama, comedy]",[IN],-,7.9,2586
tm118438,Anjaam,MOVIE,1994,-,137,"[romance, crime, thriller, drama]",[IN],-,6.6,6532
tm424630,A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,-,100,"[drama, sport]",[US],-,7.2,250
tm27601,Phir Bhi Dil Hai Hindustani,MOVIE,2000,PG-13,160,"[comedy, romance, drama]",[IN],-,6.1,7610
tm203186,Children of Shatila,MOVIE,1999,-,50,"[documentation, history]",[LB],-,8.1,78
tm128073,Bill Hicks: Relentless,MOVIE,1992,-,61,[comedy],[GB],-,-,-
tm7951,Tim Allen: Rewires America,MOVIE,1991,PG,30,"[comedy, documentation]",[US],-,6,198
tm7135,Bill Hicks: One Night Stand,MOVIE,1991,NC-17,30,[comedy],[US],-,-,-
tm52083,West Beirut,MOVIE,1998,PG-13,105,"[romance, drama, comedy, war, european]","[FR, NO, LB, BE]",-,7.6,4221
tm340430,Govindha Govindha,MOVIE,1993,-,145,"[drama, action, crime]",[IN],-,6.6,356
tm7032,Out of Life,MOVIE,1991,-,97,"[drama, war, crime, european]","[BE, FR, IT, LB]",-,6.9,376
tm256669,Gumrah,MOVIE,1993,-,149,"[drama, action, crime, thriller]",[IN],-,6.1,795
tm64729,Sinbad: Nothin' but the Funk,MOVIE,1998,-,56,"[comedy, documentation]",[US],-,6.3,65
tm184224,Sinbad: Afros and Bellbottoms,MOVIE,1993,PG-13,60,"[comedy, documentation]",[US],-,7.8,172
tm25389,Fiza,MOVIE,2000,-,170,"[romance, action, crime, drama, thriller]",[IN],-,6,4213
tm34391,Before the Flying Circus,MOVIE,2000,-,55,"[comedy, documentation]",[GB],-,7.3,168
tm44776,The Other,MOVIE,1999,-,106,"[romance, european, drama]","[FR, EG]",-,5.9,997
tm334788,Yodha,MOVIE,1991,-,142,"[action, drama]",[IN],-,4.5,198
tm117840,The Emigrant,MOVIE,1994,-,129,[drama],"[FR, EG]",-,6.5,1015
tm42397,Hello Brother,MOVIE,1999,-,131,"[comedy, romance, fantasy, action]",[IN],-,4.6,4262
tm314602,Dushmani,MOVIE,1995,-,156,"[romance, action, drama]",[IN],-,5,249
tm255589,One Last Shot,MOVIE,1998,-,30,[],[],-,-,-
tm7810,Nightmare in Columbia County,MOVIE,1991,-,100,"[drama, thriller, crime]",[US],-,5.5,345
tm210754,Have You Ever Seen Fireflies? - Theatre Play,MOVIE,1999,-,118,[drama],[TR],-,-,-
tm449775,Shikari,MOVIE,1991,-,162,"[drama, action]","[IN, SU]",-,5.8,68
ts4,Breaking Bad,SHOW,2008,TV-MA,48,"[drama, crime, thriller]",[US],5,9.5,1775990
ts20371,Top Gear,SHOW,2002,TV-PG,58,"[comedy, reality, european, music]",[GB],32,8.7,117240
ts9,The Walking Dead,SHOW,2010,TV-MA,46,"[action, drama, scifi, horror, thriller]",[US],11,8.2,956604
ts21465,Supernatural,SHOW,2005,TV-14,45,"[scifi, horror, thriller, drama, fantasy]",[US],15,8.4,434081
tm74402,The Mist,MOVIE,2007,R,126,"[horror, scifi, thriller]",[US],-,7.1,305346
tm91952,Mean Girls,MOVIE,2004,PG-13,97,[comedy],"[CA, US]",-,7.1,375975
ts288536,The Great British Baking Show,SHOW,2010,TV-PG,57,"[reality, european]",[GB],12,8.6,9856
ts12724,30 Rock,SHOW,2006,TV-14,25,"[comedy, sport]",[US],7,8.3,122698
ts6644,Borgen,SHOW,2010,TV-MA,58,"[drama, european]",[DK],4,8.5,25485
ts8308,Community,SHOW,2009,TV-PG,23,[comedy],[US],6,8.5,257221
tm111828,Catch Me If You Can,MOVIE,2002,PG-13,141,"[drama, crime]",[US],-,8.1,952602
ts21469,Grey's Anatomy,SHOW,2005,TV-14,49,"[drama, romance]",[US],19,7.6,299165
ts17156,Arrested Development,SHOW,2003,TV-MA,28,[comedy],[US],5,8.7,300445
ts22011,Heartland,SHOW,2007,TV-PG,44,"[drama, family]",[CA],15,8.4,16337
ts26091,The Staircase,SHOW,2004,TV-MA,49,"[crime, documentation, drama]",[FR],2,7.8,21531
tm150112,Old School,MOVIE,2003,R,88,"[comedy, european]",[US],-,7,229171
ts22337,NCIS,SHOW,2003,TV-14,43,"[crime, action, thriller, drama, comedy]",[US],20,7.8,143846
ts3371,Avatar: The Last Airbender,SHOW,2005,TV-Y7,24,"[scifi, animation, action, family, fantasy]",[US],3,9.3,303666
tm80906,Anchorman: The Legend of Ron Burgundy,MOVIE,2004,PG-13,95,[comedy],[US],-,7.1,353118
ts20604,Friday Night Lights,SHOW,2006,TV-14,43,"[drama, sport]",[US],5,8.7,65199
ts20573,The IT Crowd,SHOW,2006,TV-14,25,"[comedy, european]",[GB],5,8.5,149586
tm92641,Inception,MOVIE,2010,PG-13,148,"[action, scifi, music, thriller]","[US, GB]",-,8.8,2294231
ts22099,The Spectacular Spider-Man,SHOW,2008,TV-Y7,22,"[action, animation, family, scifi, comedy]",[US],2,8.3,14996
tm27911,The Departed,MOVIE,2006,R,151,"[drama, thriller, crime, action]",[US],-,8.5,1296244
ts21464,Zoey 101,SHOW,2005,TV-G,25,"[drama, comedy, family, romance]",[US],4,6.1,15808
tm88465,Insidious,MOVIE,2010,PG-13,103,"[horror, thriller]","[CA, US]",-,6.8,303820
tm172683,War of the Worlds,MOVIE,2005,PG-13,117,"[action, thriller, scifi]",[US],-,6.5,444229
ts11313,DEATH NOTE,SHOW,2006,TV-14,24,"[animation, thriller, scifi, drama, fantasy, crime]",[JP],1,9,309445
ts21247,The Vampire Diaries,SHOW,2009,TV-14,42,"[drama, scifi, horror, romance, thriller, fantasy]",[US],8,7.7,314422
ts20305,Naruto,SHOW,2002,TV-PG,23,"[animation, action, scifi, comedy, fantasy, thriller]",[JP],6,8.4,96729
tm42877,Wanted,MOVIE,2008,R,110,"[action, thriller, crime, fantasy]","[DE, US]",-,6.7,384995
tm39030,Casino Royale,MOVIE,2006,-,144,"[action, thriller, european]","[DE, GB, US, BS, CZ]",-,8,649676
ts21511,My Little Pony: Friendship Is Magic,SHOW,2010,TV-Y7,22,"[comedy, scifi, animation, fantasy, family, drama, music]","[CA, US]",9,7.6,20910
tm997728,Blade Runner: The Final Cut,MOVIE,2007,R,117,"[action, thriller, scifi]",[US],-,-,-
ts17942,Chappelle's Show,SHOW,2003,TV-14,21,"[comedy, music]",[US],3,8.8,63107
tm89677,The Terminal,MOVIE,2004,PG-13,128,"[drama, comedy, romance]",[US],-,7.4,441752
tm78592,Michael Clayton,MOVIE,2007,R,114,"[thriller, drama, crime]",[US],-,7.2,165109
tm105329,Road to Perdition,MOVIE,2002,R,117,"[thriller, documentation, drama, crime]",[US],-,7.7,265216
ts30311,Victorious,SHOW,2010,TV-G,25,"[comedy, family, drama, music, romance, sport]",[US],4,6.9,24838
tm139658,Big Fish,MOVIE,2003,PG-13,125,"[action, fantasy, drama, romance]",[US],-,8,437650
tm26327,The Hurt Locker,MOVIE,2008,R,131,"[thriller, drama, war]",[US],-,7.5,446904
tm95477,Troy,MOVIE,2004,R,163,"[action, history, war, drama, european]","[MT, GB, US]",-,7.3,527447
tm154187,Sherlock Holmes,MOVIE,2009,PG-13,129,"[crime, thriller, action]","[AU, DE, GB, US]",-,7.6,625708
ts22267,Trailer Park Boys,SHOW,2001,TV-MA,25,"[comedy, crime]",[CA],12,8.6,42733
